Roll_no,Name,Semester,Sub_1,Sub_2,Sub_3,Total_marks,Email,Phone
1,Krish,3,95,45,98,238,abc@gmail.com,2547868957
2,Hitarth,2,45,87,78,210,bca@gmail.com,3654789523
3,Ali,4,27,69,54,150,asd@gmail.com,3689745241
4,Aryan,,85,85,56,226,zd@gmail.com,2534785698
5,Fardin,6,36,65,12,113,df@gmail.com,2547856985
6,Prem,1,66,35,30,131,gh@gmail.com,3654712512
7,Huzef,,35,65,80,180,lj@gmail.com,1235698745
8,Zaid,2,12,89,30,131,pqr@gmail.com,2356897412
9,Kaif,4,45,47,47,139,def@gmail.com,1236547896
10,Hamza,,68,65,35,168,yz@gmail.com,3569874563
